year,maker,count
2000,Alfa Romeo,360
2000,Asia,2
2000,Audi,323
2000,BMW,2340
2000,Bentley,1
2000,Bufori Malaysia,1
2000,Chevrolet,3
2000,Chrysler,4
2000,Citroen,617
2000,Daihatsu,146
2000,Ferrari,13
2000,Fiat,528
2000,Ford,5580
2000,Hicom,8
2000,Hitachi,1
2000,Holden,3
2000,Honda,9435
2000,Hyundai,807
2000,Inokom,50
2000,Isuzu,1619
2000,Jaguar,74
2000,Jeep,40
2000,Jeep Cherokee,3
2000,Kia,646
2000,Koa,1
2000,Land Rover,253
2000,Lexus,17
2000,Lincoln,1
2000,Lotus,34
2000,Mahindra,2
2000,Maserati,4
2000,Mazda,1419
2000,Mercedes Benz,5078
2000,Mitsubishi,2400
2000,Mitsuoka,2
2000,Morris,1
2000,Naza,7
2000,Nissan,11300
2000,Opel,29
2000,Perodua,98471
2000,Peugeot,460
2000,Porsche,18
2000,Proton,185870
2000,Renault,281
2000,Rolls Royce,6
2000,Rover,1
2000,Saab,10
2000,Ssangyong,34
2000,Subaru,58
2000,Suzuki,983
2000,TVR,1
2000,Tata,107
2000,Td Cars,6
2000,Toyota,21321
2000,Volkswagen,92
2000,Volvo,1566
2001,Alfa Romeo,330
2001,Aston Martin,2
2001,Audi,172
2001,BMW,2474
2001,Bufori Malaysia,1
2001,Chevrolet,3
2001,Chrysler,10
2001,Citroen,539
2001,Daihatsu,186
2001,Daimler,3
2001,Ferrari,18
2001,Fiat,521
2001,Ford,6390
2001,Hicom,20
2001,Hitachi,2
2001,Holden,2
2001,Honda,9834
2001,Hyundai,1701
2001,Inokom,34
2001,Isuzu,1751
2001,Jaguar,84
2001,Jeep,6
2001,Kia,3397
2001,Land Rover,280
2001,Lexus,17
2001,Lotus,16
2001,MG,1
2001,Mahindra,1
2001,Maserati,2
2001,Mazda,950
2001,Mercedes Benz,6945
2001,Mini,1
2001,Mitsubishi,5301
2001,Mitsuoka,1
2001,Nissan,13317
2001,Opel,160
2001,Perodua,110760
2001,Peugeot,252
2001,Porsche,65
2001,Proton,211024
2001,Renault,427
2001,Rolls Royce,6
2001,Rover,9
2001,Saab,4
2001,Ssangyong,13
2001,Subaru,61
2001,Suzuki,1029
2001,Tata,547
2001,Td Cars,9
